Unnamed: 0,League,Team,Name,Age,Market Value,Matches Played,Minutes,Matches Started,Goals Scored,Goals Scored (Per90),Goal Involvement,Goal Involvement (Per90),Expected Goals (xG),Expected Goals (xG) (Per90),Non-Penalty xG (npxG),Goals Conceded,Clean Sheets,Tackles,Tackles (Per90),Interceptions,Interceptions (Per90),Clearances,Clearances (Per90),Shots Blocked,Shots Blocked (Per90),Dribbled Past,Dribbled Past (Per90),Penalties Given Away,Penalties Given Away (Per90),Ground Duels,Ground Duels (Per90),Ground Duels Won,Ground Duels Won (Per90),Aerial Duels Won,Aerial Duels Won (Per90),Assists,Assists (Per90),Expected Assists (xA),Expected Assists (xA) (Per90),Passes,Passes (Per90),Successful Passes,Successful Passes (Per90),Pass Completion Rate,Key Passes,Key Passes (Per90),Crosses,Crosses (Per90),Successful Crosses,Successful Crosses (Per90),Cross Completion Rate,Dribbles,Dribbles (Per90),Successful Dribbles,Successful Dribbles (Per90),Dribble Success Rate,Dispossesed,Dispossesed (Per90),Offsides,Offsides (Per90),Yellow Cards,Red Cards,Total Cards,Total Cards (Per90),Fouls Committed,Fouls Committed (Per90),Fouled Against,Fouled Against (Per90),Annual Salary,Shots Faced,Shots Faced (Per90),Shot Conversion Rate,Shots Taken,Shots Taken (Per90),Shots On Target,Shots On Target (Per90),Shots Off Target,Shots Off Target (Per90),Shot Accuracy,Shots Per Goal Scored,Position,Tactical_Role,Inside Forward_Score,Traditional Winger_Score,Winger_Type,Performance_Score_Raw,Performance_Score,Rank
731,la-liga,Celta de Vigo,Hugo Álvarez,22,8000000.0,28,1811,21,11,0.55,15,0.75,11.24,0.56,11.24,20,8,11,0.55,4,0.2,26,1.29,3,0.15,3,0.15,0,0.0,232,11.53,89,4.42,31,1.54,4,0.2,3.8,0.19,403,20.03,309,15.36,0.7667,21,1.04,7,0.35,1,0.05,0.1429,69,3.43,36,1.79,0.5217,25,1.24,11,0.55,0,0,0,0.0,35,1.74,12,0.6,15080000.0,85,4.1,33.33,6,0.27,5,0.22,1,0.33,16.67,0.0,Left Winger,Inside Forward,77.07692307692308,25.0,Left Winger,35.289316390149295,35.289316390149295,21
392,premier-league,Fulham FC,Harry Wilson,29,25000000.0,30,2359,28,10,0.38,16,0.61,11.15,0.43,11.15,33,6,25,0.95,14,0.53,41,1.56,3,0.11,19,0.72,0,0.0,148,5.65,73,2.79,4,0.15,6,0.23,5.87,0.22,665,25.37,539,20.56,0.8105,33,1.26,103,3.93,29,1.11,0.2816,26,0.99,14,0.53,0.5385,18,0.69,11,0.42,6,0,6,0.23,11,0.42,32,1.22,4147000.0,85,3.4,0.0,5,0.67,2,0.06,6,0.35,38.71,7.75,Right Winger,Inside Forward / Traditional Winger,72.73076923076923,71.32692307692308,Right Winger,35.13368554405104,35.13368554405104,22
44,premier-league,Arsenal FC,Leandro Trossard,31,20000000.0,27,1721,18,5,0.26,10,0.52,5.94,0.31,5.94,12,12,23,1.2,8,0.42,12,0.63,3,0.16,14,0.73,0,0.0,176,9.18,80,4.17,5,0.26,5,0.26,5.09,0.27,643,33.55,489,25.51,0.7605,31,1.62,53,2.77,12,0.63,0.2264,47,2.45,18,0.94,0.3829999999999999,33,1.72,4,0.21,1,0,1,0.05,13,0.68,34,1.77,6786000.0,123,4.19,33.33,6,0.4,1,0.22,5,0.04,16.67,3.0,Left Winger,Traditional Winger / Inside Forward,60.09615384615385,62.76923076923077,Left Winger,34.98756062845582,34.98756062845582,23
24,premier-league,Manchester City,Antoine Semenyo,26,75000000.0,30,2681,30,15,0.5,19,0.64,15.37,0.52,13.97,43,9,40,1.34,8,0.27,27,0.91,5,0.17,17,0.57,1,0.03,379,12.72,152,5.1,53,1.78,4,0.13,4.9,0.16,747,25.07,592,19.87,0.7925,35,1.17,39,1.31,5,0.17,0.1282,93,3.12,38,1.28,0.4086,55,1.85,18,0.6,7,0,7,0.23,48,1.61,21,0.7,5655000.0,85,3.4,0.0,31,0.78,1,0.27,3,0.35,40.0,0.0,Right Winger,Inside Forward,86.38461538461537,28.192307692307693,Right Winger,34.66860923752045,34.66860923752045,24
888,la-liga,CA Osasuna,Rubén García,32,1800000.0,28,1786,22,2,0.1,7,0.35,2.74,0.14,2.74,21,7,44,2.22,13,0.65,20,1.01,1,0.05,25,1.26,0,0.0,208,10.48,91,4.58,18,0.91,5,0.25,5.32,0.27,681,34.3,544,27.4,0.7988,35,1.76,119,5.99,41,2.06,0.3445,24,1.21,8,0.4,0.3333,17,0.86,1,0.05,5,0,5,0.25,28,1.41,22,1.11,2350000.0,85,3.4,20.0,7,0.4,1,0.66,19,1.04,14.29,5.0,Right Winger,Traditional Winger,28.807692307692307,88.61538461538463,Right Winger,34.58360495930963,34.58360495930963,25
962,la-liga,Elche CF,Germán Valera,24,6000000.0,30,2401,28,4,0.15,8,0.3,4.15,0.16,4.15,39,7,47,1.76,16,0.6,40,1.5,8,0.3,9,0.34,0,0.0,258,9.67,148,5.55,11,0.41,4,0.15,5.9,0.22,997,37.37,879,32.95,0.8815999999999999,38,1.42,83,3.11,22,0.82,0.2651,66,2.47,32,1.2,0.4847999999999999,24,0.9,4,0.15,3,0,3,0.11,30,1.12,61,2.29,840000.0,67,4.19,33.33,6,0.27,1,0.22,5,0.33,83.33,3.0,Left Winger,Traditional Winger,36.019230769230774,65.3076923076923,Left Winger,34.51563727722705,34.51563727722705,26
677,la-liga,Real Sociedad,Gonçalo Guedes,29,6000000.0,31,1819,22,8,0.4,12,0.59,8.35,0.41,8.35,22,3,25,1.24,4,0.2,6,0.3,0,0.0,24,1.19,0,0.0,188,9.3,86,4.26,11,0.54,4,0.2,4.13,0.2,557,27.56,418,20.68,0.7504000000000001,25,1.24,70,3.46,17,0.84,0.2429,39,1.93,17,0.84,0.4359,23,1.14,13,0.64,3,0,3,0.15,18,0.89,33,1.63,5200000.0,85,2.34,33.33,6,0.4,5,0.07,1,0.04,16.67,3.0,Left Winger,Inside Forward,70.40384615384615,62.36538461538461,Left Winger,34.346248480012044,34.346248480012044,27
863,la-liga,Rayo Vallecano,Álvaro García,33,1800000.0,30,2039,22,4,0.18,9,0.4,6.26,0.27,6.26,26,9,28,1.22,14,0.61,28,1.22,2,0.09,16,0.7,0,0.0,141,6.15,56,2.44,13,0.57,5,0.22,5.22,0.23,515,22.48,353,15.41,0.6854,41,1.79,89,3.88,15,0.65,0.1685,16,0.7,4,0.17,0.25,10,0.44,14,0.61,3,0,3,0.13,18,0.79,12,0.52,2600000.0,67,3.4,0.0,6,0.4,1,0.07,1,0.33,83.33,0.0,Left Winger,Traditional Winger,46.59615384615384,63.53846153846155,Left Winger,33.034995462530475,33.034995462530475,28
104,premier-league,Liverpool FC,Cody Gakpo,26,65000000.0,30,2244,26,6,0.24,10,0.4,8.19,0.33,8.19,27,9,27,1.08,10,0.4,18,0.72,3,0.12,10,0.4,0,0.0,259,10.39,132,5.29,40,1.6,4,0.16,4.96,0.2,650,26.07,516,20.7,0.7938,44,1.76,84,3.37,11,0.44,0.131,53,2.13,26,1.04,0.4906,20,0.8,22,0.88,2,0,2,0.08,35,1.4,40,1.6,18850000.0,106,4.19,0.0,6,0.27,1,0.22,1,0.04,16.67,0.0,Left Winger,Inside Forward,55.230769230769226,46.596153846153854,Left Winger,32.27912622416918,32.27912622416918,29
442,premier-league,West Ham United,Crysencio Summerville,24,30000000.0,25,1945,23,5,0.23,6,0.28,6.44,0.3,6.44,32,5,33,1.53,13,0.6,26,1.2,3,0.14,10,0.46,0,0.0,246,11.38,122,5.64,6,0.28,1,0.05,2.12,0.1,494,22.85,416,19.24,0.8421,21,0.97,44,2.03,10,0.46,0.2273,74,3.42,35,1.62,0.473,28,1.29,5,0.23,4,0,4,0.19,40,1.85,50,2.31,2673450.0,67,4.0,0.0,6,0.4,5,0.22,5,0.33,83.33,0.0,Left Winger,Inside Forward,61.86538461538461,30.07692307692308,Left Winger,31.57156429235738,31.57156429235738,30
