Unnamed: 0,League,Team,Name,Age,Market Value,Matches Played,Minutes,Matches Started,Goals Scored,Goals Scored (Per90),Goal Involvement,Goal Involvement (Per90),Expected Goals (xG),Expected Goals (xG) (Per90),Non-Penalty xG (npxG),Goals Conceded,Clean Sheets,Tackles,Tackles (Per90),Interceptions,Interceptions (Per90),Clearances,Clearances (Per90),Shots Blocked,Shots Blocked (Per90),Dribbled Past,Dribbled Past (Per90),Penalties Given Away,Penalties Given Away (Per90),Ground Duels,Ground Duels (Per90),Ground Duels Won,Ground Duels Won (Per90),Aerial Duels Won,Aerial Duels Won (Per90),Assists,Assists (Per90),Expected Assists (xA),Expected Assists (xA) (Per90),Passes,Passes (Per90),Successful Passes,Successful Passes (Per90),Pass Completion Rate,Key Passes,Key Passes (Per90),Crosses,Crosses (Per90),Successful Crosses,Successful Crosses (Per90),Cross Completion Rate,Dribbles,Dribbles (Per90),Successful Dribbles,Successful Dribbles (Per90),Dribble Success Rate,Dispossesed,Dispossesed (Per90),Offsides,Offsides (Per90),Yellow Cards,Red Cards,Total Cards,Total Cards (Per90),Fouls Committed,Fouls Committed (Per90),Fouled Against,Fouled Against (Per90),Annual Salary,Shots Faced,Shots Faced (Per90),Shots Taken,Shots Taken (Per90),Shots On Target,Shots On Target (Per90),Shots Off Target,Shots Off Target (Per90),Shot Accuracy,Position,Tactical_Role,Ball Winning Midfielder_Score,Mezzala_Score,Performance_Score_Raw,Performance_Score,Rank,Value_Norm,Age_Norm,Value_Score,Value_Rank
832,la-liga,RCD Espanyol Barcelona,Pol Lozano,26,6000000.0,28,1971,25,2,0.09,3,0.14,2.33,0.11,2.33,32,8,34,1.55,22,1.01,20,0.91,5,0.23,30,1.37,1,0.05,193,8.82,72,3.29,8,0.37,1,0.05,2.93,0.13,850,38.83,748,34.17,0.88,22,1.01,26,1.19,6,0.27,0.2307999999999999,10,0.46,4,0.18,0.4,15,0.69,0,0.0,8,0,8,0.37,57,2.6,26,1.19,1425000.0,67,3.4,3,0.19,0,0.06,3,0.38,0.0,Central Midfield,Ball Winning Midfielder / Mezzala,37.326086956521735,34.78260869565217,31.86178347410893,31.86178347410893,31,0.03678929765886288,0.42857142857142855,22.186675972914472,23
808,la-liga,Sevilla FC,Djibril Sow,29,7500000.0,27,1804,23,5,0.25,6,0.3,4.39,0.22,4.39,34,4,32,1.6,19,0.95,11,0.55,1,0.05,7,0.35,1,0.05,151,7.53,77,3.84,12,0.6,1,0.05,2.42,0.12,750,37.42,664,33.13,0.8853,19,0.95,22,1.1,10,0.5,0.4545,16,0.8,8,0.4,0.5,5,0.25,3,0.15,3,0,3,0.15,30,1.5,25,1.25,4170000.0,85,3.4,3,0.38,5,0.2,3,0.72,21.74,Central Midfield,Mezzala,39.52173913043478,45.3695652173913,34.39803496091536,34.39803496091536,28,0.046822742474916385,0.6428571428571429,20.13620982952501,24
410,premier-league,Sunderland AFC,Noah Sadiki,21,30000000.0,27,2387,27,0,0.0,0,0.0,1.13,0.04,1.13,30,8,39,1.47,30,1.13,38,1.43,10,0.38,14,0.53,0,0.0,176,6.64,93,3.51,8,0.3,0,0.0,2.89,0.11,886,33.41,752,28.35,0.8488,12,0.45,17,0.64,4,0.15,0.2353,33,1.24,21,0.79,0.6364,18,0.68,1,0.04,7,0,7,0.26,24,0.9,29,1.09,3016000.0,85,3.4,3,0.19,0,0.0,2,0.12,33.33,Central Midfield,Ball Winning Midfielder,40.54347826086956,27.60869565217392,27.211358790204912,27.211358790204912,36,0.19732441471571907,0.07142857142857142,19.86305492016191,25
617,la-liga,Villarreal CF,Santi Comesaña,29,8000000.0,29,2075,24,3,0.13,8,0.35,3.41,0.15,3.41,21,7,43,1.86,26,1.13,50,2.17,15,0.65,23,1.0,1,0.04,234,10.14,111,4.81,35,1.52,5,0.22,5.66,0.25,1015,44.0,834,36.16,0.8217,24,1.04,11,0.48,1,0.04,0.0909,20,0.87,11,0.48,0.55,25,1.08,1,0.04,6,1,7,0.3,37,1.6,22,0.95,2875000.0,83,4.19,3,0.92,1,0.2,3,0.38,0.0,Central Midfield,Mezzala / Ball Winning Midfielder,57.84782608695652,59.56521739130434,34.215856614781224,34.215856614781224,29,0.05016722408026756,0.6428571428571429,19.853697035230336,26
232,premier-league,Aston Villa,John McGinn,31,15000000.0,25,1824,24,4,0.2,6,0.3,4.15,0.2,4.15,23,7,26,1.28,12,0.59,13,0.64,5,0.25,13,0.64,0,0.0,199,9.82,90,4.44,8,0.39,2,0.1,3.26,0.16,629,31.05,521,25.72,0.8283,27,1.33,66,3.26,16,0.79,0.2423999999999999,30,1.48,13,0.64,0.4332999999999999,39,1.93,0,0.0,4,0,4,0.2,27,1.33,43,2.12,9048000.0,85,3.4,3,0.19,1,0.0,3,0.12,21.74,Central Midfield,Mezzala,27.67391304347825,60.19565217391305,35.67162709834839,35.67162709834839,25,0.09698996655518395,0.7857142857142857,17.04764238740715,27
643,la-liga,Athletic Bilbao,Mikel Jauregizar,22,35000000.0,30,2435,29,2,0.07,2,0.07,3.41,0.13,3.41,35,5,60,2.22,44,1.63,23,0.85,3,0.11,45,1.66,0,0.0,280,10.35,135,4.99,34,1.26,0,0.0,3.38,0.12,1178,43.54,962,35.56,0.8166,22,0.81,56,2.07,7,0.26,0.125,26,0.96,10,0.37,0.3846,23,0.85,0,0.0,3,0,3,0.11,38,1.4,31,1.15,2080000.0,85,3.4,3,0.19,0,0.2,18,0.12,33.33,Central Midfield,Ball Winning Midfielder,74.30434782608697,35.565217391304344,26.67617849300567,26.67617849300567,37,0.23076923076923078,0.14285714285714285,16.895958712785887,28
71,premier-league,Chelsea FC,Enzo Fernández,25,90000000.0,30,2583,29,8,0.28,11,0.38,9.92,0.35,8.52,30,8,51,1.78,16,0.56,27,0.94,1,0.03,24,0.84,0,0.0,257,8.95,122,4.25,23,0.8,3,0.1,6.44,0.22,1657,57.74,1427,49.72,0.8612000000000001,52,1.81,65,2.26,11,0.38,0.1692,39,1.36,9,0.31,0.2307999999999999,34,1.18,2,0.07,8,0,8,0.28,30,1.05,39,1.36,13572000.0,67,3.4,23,0.19,5,0.06,3,0.38,0.0,Central Midfield,Mezzala,34.97826086956521,71.30434782608697,41.68191441213411,41.68191441213411,16,0.5986622073578596,0.35714285714285715,16.579191048541183,29
857,la-liga,Rayo Vallecano,Óscar Valentín,31,2200000.0,27,1739,21,1,0.05,1,0.05,1.64,0.08,1.64,14,8,57,2.95,21,1.09,45,2.33,9,0.47,27,1.4,0,0.0,197,10.2,103,5.33,24,1.24,0,0.0,1.8,0.09,747,38.66,662,34.26,0.8862000000000001,6,0.31,3,0.16,1,0.05,0.3333,10,0.52,5,0.26,0.5,7,0.36,0,0.0,4,1,5,0.26,23,1.19,18,0.93,2350000.0,67,4.19,23,0.19,1,0.06,2,0.12,33.33,Central Midfield,Ball Winning Midfielder,75.69565217391305,20.5,32.44763013647001,32.44763013647001,30,0.01137123745819398,0.7857142857142857,16.39220729843848,30
882,la-liga,CA Osasuna,Jon Moncayola,27,7000000.0,29,2451,28,0,0.0,4,0.15,1.1,0.04,1.1,32,7,44,1.62,23,0.84,43,1.58,4,0.15,38,1.4,0,0.0,175,6.43,76,2.79,14,0.51,4,0.15,5.72,0.21,1150,42.23,924,33.93,0.8035,32,1.18,109,4.0,23,0.84,0.211,17,0.62,9,0.33,0.5294,8,0.29,0,0.0,8,0,8,0.29,33,1.21,10,0.37,1825000.0,67,3.4,3,0.19,1,0.2,3,0.72,0.0,Central Midfield,Mezzala,31.82608695652174,44.99999999999999,25.813522317330033,25.813522317330033,38,0.043478260869565216,0.5,14.509174491243076,31
336,premier-league,Brentford FC,Mathias Jensen,30,12000000.0,30,1744,20,2,0.1,3,0.15,2.98,0.15,2.98,23,8,31,1.59,15,0.77,29,1.48,4,0.2,23,1.18,0,0.0,146,7.47,62,3.17,9,0.46,1,0.05,2.71,0.14,831,42.54,675,34.56,0.8123,26,1.33,95,4.86,29,1.48,0.3053,24,1.23,14,0.72,0.5832999999999999,16,0.82,2,0.1,3,0,3,0.15,15,0.77,10,0.51,3770000.0,67,3.19,3,0.19,0,0.2,2,0.72,33.33,Central Midfield,Mezzala,29.47826086956522,54.673913043478265,30.95734582924583,30.95734582924583,32,0.07692307692307693,0.7142857142857143,14.363939235839238,32
