Unnamed: 0,League,Team,Name,Age,Market Value,Matches Played,Minutes,Matches Started,Goals Scored,Goals Scored (Per90),Goal Involvement,Goal Involvement (Per90),Expected Goals (xG),Expected Goals (xG) (Per90),Non-Penalty xG (npxG),Goals Conceded,Clean Sheets,Tackles,Tackles (Per90),Interceptions,Interceptions (Per90),Clearances,Clearances (Per90),Shots Blocked,Shots Blocked (Per90),Dribbled Past,Dribbled Past (Per90),Penalties Given Away,Penalties Given Away (Per90),Ground Duels,Ground Duels (Per90),Ground Duels Won,Ground Duels Won (Per90),Aerial Duels Won,Aerial Duels Won (Per90),Assists,Assists (Per90),Expected Assists (xA),Expected Assists (xA) (Per90),Passes,Passes (Per90),Successful Passes,Successful Passes (Per90),Pass Completion Rate,Key Passes,Key Passes (Per90),Crosses,Crosses (Per90),Successful Crosses,Successful Crosses (Per90),Cross Completion Rate,Dribbles,Dribbles (Per90),Successful Dribbles,Successful Dribbles (Per90),Dribble Success Rate,Dispossesed,Dispossesed (Per90),Offsides,Offsides (Per90),Yellow Cards,Red Cards,Total Cards,Total Cards (Per90),Fouls Committed,Fouls Committed (Per90),Fouled Against,Fouled Against (Per90),Annual Salary,Shots Faced,Shots Faced (Per90),Shot Conversion Rate,Shots Taken,Shots Taken (Per90),Shots On Target,Shots On Target (Per90),Shots Off Target,Shots Off Target (Per90),Shot Accuracy,Shots Per Goal Scored,Position,Tactical_Role,Wing Back_Score,Inverted Full Back_Score,Defensive Full Back_Score,FullBack_Type,Performance_Score_Raw,Performance_Score,Rank,Value_Norm,Age_Norm,Value_Score,Value_Rank
613,la-liga,Villarreal CF,Santiago Mouriño,24,10000000.0,26,1682,18,0,0.0,1,0.05,0.91,0.05,0.91,23,8,36,1.93,14,0.75,34,1.82,6,0.32,12,0.64,0,0.0,154,8.24,85,4.55,9,0.48,1,0.05,2.54,0.14,769,41.12,655,35.03,0.8518000000000001,20,1.07,55,2.94,15,0.8,0.2727,7,0.37,4,0.21,0.5714,9,0.48,1,0.05,6,0,6,0.32,37,1.98,36,1.93,1575000.0,67,4.19,0.0,14,0.47,1,0.19,2,0.0,25.0,21.0,Right-Back,Inverted Full Back / Wing Back,53.58620689655172,58.06896551724138,39.0,Right-Back,32.8392512980284,32.8392512980284,40,0.13043478260869565,0.29411764705882354,23.04385487859106,23
224,premier-league,Aston Villa,Lucas Digne,32,8000000.0,27,1637,19,0,0.0,5,0.27,1.07,0.06,1.07,18,8,33,1.81,11,0.6,54,2.97,4,0.22,12,0.66,0,0.0,142,7.81,78,4.29,30,1.65,5,0.27,4.94,0.27,663,36.45,534,29.36,0.8054000000000001,24,1.32,93,5.11,30,1.65,0.3226,12,0.66,4,0.22,0.3333,9,0.49,3,0.16,3,0,3,0.16,12,0.66,11,0.6,10179000.0,67,3.19,0.0,12,0.66,5,0.27,7,0.38,41.67,0.0,Left-Back,Wing Back,74.79310344827586,36.72413793103448,40.94827586206897,Left-Back,41.15677213209602,41.15677213209602,20,0.10144927536231885,0.7647058823529411,22.819176224167638,24
435,premier-league,West Ham United,Aaron Wan-Bissaka,28,22000000.0,22,1905,21,0,0.0,3,0.14,0.0,0.0,0.0,32,3,33,1.56,39,1.84,88,4.16,7,0.33,7,0.33,0,0.0,153,7.23,78,3.69,21,0.99,3,0.14,2.92,0.14,677,31.98,514,24.28,0.7592,17,0.8,40,1.89,17,0.8,0.425,26,1.23,12,0.57,0.4614999999999999,14,0.66,1,0.05,4,0,4,0.19,21,0.99,12,0.57,5346900.0,75,3.4,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,Right-Back,Defensive Full Back,59.22413793103448,30.58620689655173,70.39655172413794,Right-Back,42.48660966348072,42.48660966348072,17,0.30434782608695654,0.5294117647058824,22.76793958675438,25
66,premier-league,Chelsea FC,Malo Gusto,22,35000000.0,29,1833,21,2,0.1,5,0.25,2.12,0.1,2.12,24,8,45,2.21,24,1.18,30,1.47,3,0.15,14,0.69,0,0.0,144,7.07,78,3.83,11,0.54,3,0.15,4.2,0.21,1023,50.23,889,43.65,0.8690000000000001,19,0.93,39,1.91,6,0.29,0.1538,19,0.93,8,0.39,0.4211,13,0.64,1,0.05,4,1,4,0.2,16,0.79,15,0.74,3393000.0,67,4.1,18.18,11,0.54,5,0.25,6,0.29,45.45,5.5,Right-Back,Inverted Full Back,54.8448275862069,66.82758620689656,55.672413793103445,Right-Back,40.766778083494785,40.766778083494785,23,0.4927536231884058,0.17647058823529413,22.45475762313673,26
95,premier-league,Liverpool FC,Calvin Ramsay,22,1500000.0,24,1992,22,1,0.05,1,0.05,1.27,0.06,1.27,32,4,48,2.17,16,0.72,85,3.84,19,0.86,6,0.27,1,0.05,189,8.54,114,5.15,31,1.4,0,0.0,2.43,0.11,1322,59.73,1166,52.68,0.882,6,0.27,9,0.41,3,0.14,0.3333,15,0.68,8,0.36,0.5333,13,0.59,1,0.05,5,0,5,0.23,23,1.04,29,1.31,2673450.0,75,4.0,11.11,9,0.41,3,0.14,6,0.27,33.33,9.0,Right-Back,Inverted Full Back,25.70689655172413,75.05172413793105,58.362068965517246,Right-Back,25.655972857364276,25.655972857364276,52,0.007246376811594203,0.17647058823529413,21.909169788310567,27
900,la-liga,RCD Mallorca,Johan Mojica,33,1800000.0,30,2313,25,0,0.0,3,0.12,0.96,0.04,0.96,36,4,50,1.95,21,0.82,70,2.72,5,0.19,8,0.31,0,0.0,192,7.47,104,4.05,18,0.7,3,0.12,4.36,0.17,1033,40.19,813,31.63,0.787,29,1.13,105,4.09,29,1.13,0.2762,33,1.28,12,0.47,0.3636,27,1.05,2,0.08,5,0,5,0.19,24,0.93,25,0.97,2350000.0,75,4.1,0.0,15,0.58,2,0.08,13,0.51,13.33,0.0,Left-Back,Wing Back,69.62068965517241,35.94827586206897,49.189655172413794,Left-Back,37.27716781118073,37.27716781118073,32,0.011594202898550725,0.8235294117647058,20.458753488930093,28
850,la-liga,Rayo Vallecano,Pep Chavarría,28,10000000.0,27,2218,24,1,0.04,3,0.12,1.6,0.06,1.6,25,8,43,1.74,28,1.14,65,2.64,14,0.57,12,0.49,2,0.08,213,8.64,110,4.46,19,0.77,2,0.08,4.25,0.17,1082,43.9,920,37.33,0.8503000000000001,22,0.89,78,3.17,12,0.49,0.1538,38,1.54,16,0.65,0.4211,15,0.61,2,0.08,6,1,6,0.24,30,1.22,33,1.34,2350000.0,67,3.4,5.88,17,0.69,3,0.12,14,0.57,17.65,17.0,Left-Back,Inverted Full Back / Wing Back,58.72413793103448,62.53448275862069,50.29310344827586,Left-Back,34.943979099896424,34.943979099896424,36,0.13043478260869565,0.5294117647058824,20.442700327517905,29
587,la-liga,Atlético de Madrid,Marcos Llorente,31,22000000.0,25,1861,21,0,0.0,4,0.19,1.43,0.07,1.43,19,11,49,2.37,10,0.48,45,2.18,2,0.1,18,0.87,0,0.0,146,7.06,81,3.92,9,0.44,4,0.19,5.41,0.26,1242,60.06,1106,53.49,0.8905,19,0.92,37,1.79,11,0.53,0.2973,22,1.06,14,0.68,0.6364,7,0.34,2,0.1,5,0,5,0.24,24,1.16,10,0.48,10412500.0,67,4.19,0.0,28,0.45,1,0.2,3,0.72,21.74,0.0,Right-Back,Wing Back / Inverted Full Back,68.8103448275862,67.56896551724137,44.603448275862064,Right-Back,42.96883889305926,42.96883889305926,15,0.30434782608695654,0.7058823529411765,19.720757051627032,30
457,premier-league,Leeds United,Gabriel Gudmundsson,26,20000000.0,29,2370,28,1,0.04,1,0.04,1.12,0.04,1.12,35,5,57,2.16,22,0.84,75,2.85,6,0.23,26,0.99,1,0.04,290,11.01,153,5.81,17,0.65,0,0.0,2.39,0.09,843,32.01,643,24.42,0.7628,19,0.72,71,2.7,21,0.8,0.2958,62,2.35,30,1.14,0.4839,25,0.95,3,0.11,6,1,6,0.23,30,1.14,50,1.9,3016000.0,85,3.4,0.0,18,0.68,3,0.11,15,0.57,16.67,0.0,Left-Back,Wing Back / Defensive Full Back,56.03448275862068,34.43103448275862,55.3448275862069,Left-Back,35.99798466721791,35.99798466721791,33,0.2753623188405797,0.4117647058823529,19.501820984353458,31
65,premier-league,Chelsea FC,Reece James,26,60000000.0,27,1895,20,2,0.09,7,0.33,2.65,0.13,2.65,16,9,45,2.14,31,1.47,36,1.71,7,0.33,7,0.33,0,0.0,173,8.22,102,4.84,27,1.28,5,0.24,5.95,0.28,1266,60.13,1130,53.67,0.8926000000000001,27,1.28,123,5.84,29,1.38,0.2357999999999999,19,0.9,10,0.47,0.5263,13,0.62,1,0.05,4,0,4,0.19,27,1.28,20,0.95,18850000.0,67,3.4,9.52,21,1.0,6,0.28,15,0.71,28.57,10.5,Right-Back,Inverted Full Back / Wing Back,79.75862068965517,84.65517241379311,60.72413793103448,Right-Back,53.112008563435026,53.112008563435026,4,0.855072463768116,0.4117647058823529,19.224540532744488,32
