Unnamed: 0,League,Team,Name,Age,Market Value,Matches Played,Minutes,Matches Started,Goals Scored,Goals Scored (Per90),Goal Involvement,Goal Involvement (Per90),Expected Goals (xG),Expected Goals (xG) (Per90),Non-Penalty xG (npxG),Goals Conceded,Clean Sheets,Tackles,Tackles (Per90),Interceptions,Interceptions (Per90),Clearances,Clearances (Per90),Shots Blocked,Shots Blocked (Per90),Dribbled Past,Dribbled Past (Per90),Penalties Given Away,Penalties Given Away (Per90),Ground Duels,Ground Duels (Per90),Ground Duels Won,Ground Duels Won (Per90),Aerial Duels Won,Aerial Duels Won (Per90),Assists,Assists (Per90),Expected Assists (xA),Expected Assists (xA) (Per90),Passes,Passes (Per90),Successful Passes,Successful Passes (Per90),Pass Completion Rate,Key Passes,Key Passes (Per90),Crosses,Crosses (Per90),Successful Crosses,Successful Crosses (Per90),Cross Completion Rate,Dribbles,Dribbles (Per90),Successful Dribbles,Successful Dribbles (Per90),Dribble Success Rate,Dispossesed,Dispossesed (Per90),Offsides,Offsides (Per90),Yellow Cards,Red Cards,Total Cards,Total Cards (Per90),Fouls Committed,Fouls Committed (Per90),Fouled Against,Fouled Against (Per90),Annual Salary,Shots Faced,Shots Faced (Per90),Shot Conversion Rate,Shots Taken,Shots Taken (Per90),Shots On Target,Shots On Target (Per90),Shots Off Target,Shots Off Target (Per90),Shot Accuracy,Shots Per Goal Scored,Position,Tactical_Role,Anchor Man_Score,Deep Lying Playmaker_Score,Ball Winning Midfielder_Score,Performance_Score,Rank,Value_Normalized,Age_Normalized,Value_Score,Value_Rank
830,la-liga,RCD Espanyol Barcelona,Urko González de Zárate,25,10000000.0,23,903,8,1,0.1,2,0.2,2.59,0.26,2.59,9,5,19,1.89,9,0.9,8,0.8,0,0.0,15,1.5,0,0.0,175,17.44,77,7.67,8,0.8,1,0.1,1.49,0.15,300,29.9,234,23.32,0.78,13,1.3,40,3.99,11,1.1,0.275,73,7.28,36,3.59,0.4932,23,2.29,2,0.2,1,0,1,0.1,12,1.2,15,1.5,3120000.0,75,2.34,5.0,4,0.0,1,0.18,0,0.0,0.0,0.0,Defensive Midfield,Ball Winning Midfielder,21.36029411764706,39.70588235294118,66.17647058823529,30.318031173664743,14,0.08424908424908426,0.3684210526315789,20.422137593560635,11
981,la-liga,Deportivo Alavés,Antonio Blanco,25,10000000.0,29,2503,29,1,0.04,3,0.11,3.75,0.13,3.75,36,2,78,2.8,45,1.62,34,1.22,9,0.32,51,1.83,0,0.0,330,11.87,162,5.83,33,1.19,2,0.07,4.8,0.17,1572,56.52,1345,48.36,0.8556,15,0.54,27,0.97,7,0.25,0.2593,25,0.9,19,0.68,0.76,31,1.11,2,0.07,7,0,7,0.25,56,2.01,34,1.22,1150000.0,83,3.19,5.56,0,0.75,0,0.0,0,0.54,9.09,18.0,Defensive Midfield,Ball Winning Midfielder,57.05882352941176,54.264705882352935,76.10294117647058,30.167700794696096,15,0.08424908424908426,0.3684210526315789,20.271807214591988,12
437,premier-league,West Ham United,Soungoutou Magassa,22,17000000.0,21,978,11,1,0.09,1,0.09,1.08,0.1,1.08,20,3,41,3.78,17,1.57,15,1.38,5,0.46,14,1.29,1,0.09,126,11.61,73,6.72,11,1.01,0,0.0,1.0,0.09,399,36.76,321,29.57,0.8045,5,0.46,9,0.83,2,0.18,0.2221999999999999,8,0.74,5,0.46,0.625,7,0.64,0,0.0,4,0,4,0.37,17,1.57,17,1.57,2079350.0,67,4.1,0.0,20,0.0,1,0.0,0,0.47,0.0,20.0,Defensive Midfield,Ball Winning Midfielder,65.0735294117647,21.98529411764705,87.86764705882352,28.106234225909287,25,0.14835164835164835,0.21052631578947367,19.445158459570365,13
881,la-liga,CA Osasuna,Iker Muñoz,23,2000000.0,18,688,9,3,0.39,4,0.52,2.66,0.35,2.66,8,3,10,1.31,9,1.18,8,1.05,2,0.26,7,0.92,0,0.0,52,6.8,21,2.75,2,0.26,1,0.13,1.24,0.16,183,23.94,132,17.27,0.7212999999999999,10,1.31,17,2.22,3,0.39,0.1765,11,1.44,5,0.65,0.4545,4,0.52,3,0.39,1,0,1,0.13,5,0.65,5,0.65,1240000.0,75,4.0,0.0,0,0.4,5,0.0,13,0.0,0.0,18.0,Defensive Midfield,Anchor Man / Deep Lying Playmaker,40.588235294117645,36.54411764705882,11.76470588235294,24.590766500484555,44,0.01098901098901099,0.2631578947368421,18.997938276077385,14
462,premier-league,Leeds United,Anton Stach,27,25000000.0,26,2142,25,4,0.17,7,0.29,6.06,0.25,6.06,29,5,58,2.44,18,0.76,47,1.97,9,0.38,19,0.8,1,0.04,257,10.8,136,5.71,42,1.76,3,0.13,5.05,0.21,864,36.3,682,28.66,0.7894,59,2.48,133,5.59,42,1.76,0.3157999999999999,42,1.76,19,0.8,0.4524,21,0.88,0,0.0,3,0,3,0.13,33,1.39,20,0.84,3393000.0,85,4.19,0.0,20,0.0,0,0.0,0,0.54,0.0,0.0,Defensive Midfield,Ball Winning Midfielder,43.6764705882353,44.19117647058823,69.85294117647058,34.83643530040854,6,0.2216117216117216,0.47368421052631576,18.714399441530574,15
1008,la-liga,Real Oviedo,Nicolás Fonseca,27,3000000.0,14,675,7,0,0.0,0,0.0,0.33,0.04,0.33,11,4,28,3.73,13,1.73,13,1.73,4,0.53,15,2.0,0,0.0,86,11.47,43,5.73,5,0.67,0,0.0,0.8,0.11,372,49.6,313,41.73,0.8414,2,0.27,3,0.4,1,0.13,0.3333,4,0.53,2,0.27,0.5,7,0.93,0,0.0,5,0,5,0.67,16,2.13,9,1.2,8294000.0,67,2.34,0.0,11,0.75,0,0.0,4,0.54,27.78,0.0,Defensive Midfield,Ball Winning Midfielder,71.76470588235294,33.38235294117647,81.61764705882352,28.08255500529692,26,0.020146520146520148,0.47368421052631576,18.004475190375,16
359,premier-league,Everton FC,James Garner,25,35000000.0,32,2874,32,2,0.06,8,0.25,4.6,0.14,4.6,36,11,94,2.94,52,1.63,80,2.51,8,0.25,31,0.97,0,0.0,263,8.24,164,5.14,25,0.78,6,0.19,7.92,0.25,1473,46.13,1292,40.46,0.8771,46,1.44,168,5.26,42,1.32,0.25,30,0.94,14,0.44,0.4667,13,0.41,0,0.0,8,0,8,0.25,28,0.88,32,1.0,2262000.0,75,4.0,0.0,4,0.52,0,0.0,0,0.54,0.0,0.0,Defensive Midfield,Deep Lying Playmaker / Ball Winning Midfielder,65.51470588235293,74.26470588235294,70.58823529411764,34.38004944517265,7,0.3131868131868132,0.3684210526315789,17.61602399693668,17
229,premier-league,Aston Villa,Lamare Bogarde,22,15000000.0,1,90,1,0,0.0,0,0.0,0.0,0.0,0.0,2,0,0,0.0,2,2.0,1,1.0,0,0.0,1,1.0,0,0.0,8,8.0,5,5.0,1,1.0,0,0.0,0.1,0.1,49,49.0,43,43.0,0.8776,0,0.0,2,2.0,1,1.0,0.5,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,1,1.0,5,5.0,9048000.0,106,3.19,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,Defensive Midfield,Anchor Man / Deep Lying Playmaker,47.94117647058824,45.735294117647065,30.51470588235294,25.696915122890317,38,0.13003663003663005,0.21052631578947367,17.585289906001943,18
958,la-liga,Elche CF,Marc Aguado,26,3500000.0,29,2019,24,1,0.04,2,0.09,0.79,0.04,0.79,31,6,43,1.92,37,1.65,41,1.83,18,0.8,7,0.31,0,0.0,114,5.08,71,3.16,8,0.36,1,0.04,2.98,0.13,1060,47.25,955,42.57,0.9009,5,0.22,2,0.09,2,0.09,1.0,1,0.04,0,0.0,0.0,7,0.31,0,0.0,2,0,2,0.09,18,0.8,22,0.98,720000.0,75,4.0,0.0,0,0.72,5,0.18,4,0.47,0.0,0.0,Defensive Midfield,Anchor Man,79.55882352941177,53.8235294117647,30.51470588235294,25.060390913356166,42,0.024725274725274724,0.42105263157894735,15.897580040018978,19
461,premier-league,Leeds United,Ethan Ampadu,25,25000000.0,28,2493,28,1,0.04,2,0.07,2.06,0.07,2.06,34,5,68,2.45,40,1.44,68,2.45,15,0.54,14,0.51,1,0.04,236,8.52,152,5.49,48,1.73,1,0.04,3.99,0.14,1347,48.63,1145,41.34,0.85,16,0.58,25,0.9,9,0.32,0.36,16,0.58,11,0.4,0.6875,10,0.36,0,0.0,7,0,7,0.25,36,1.3,28,1.01,3016000.0,85,4.19,5.0,20,0.72,5,0.18,15,0.54,25.0,20.0,Defensive Midfield,Anchor Man,74.70588235294117,48.30882352941177,67.64705882352942,28.97824860704169,21,0.2216117216117216,0.3684210526315789,14.961475906058464,20
